         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS
       -39          4          8          1      46.08      16.41      20.16       4.40      16.37       4.40      48.22       4.40      31.85       4.40       0.70      20.17       4.40
       -39          4          9          1      19.48       8.58      22.45       1.76      18.13       1.76       9.16       1.76       8.97       4.90       0.70      22.43       1.76
       -39          4         10          1      24.31       9.81      18.85       1.90      15.14       1.90      17.96       1.90       2.81       1.90       0.68      18.84       1.90
       -39          4         11          0      18.80       8.44       6.77       5.31       5.41       5.31       5.41       5.31       0.00       0.00       0.00       6.77       5.31
       -39          4         12          1      16.29       7.48      13.80       6.14      10.94       6.14       6.30       6.14       4.65       3.00       0.53      13.81       6.14
       -39          4         13          1      16.85       8.04      16.46       1.88      13.02       1.88       7.06       1.88       5.95       5.02       0.60      16.46       1.88
       -39          4         14          1      20.20       8.47      27.08       4.96      21.32       4.96      11.12       4.96      10.21       1.82       0.80      27.07       4.96
       -39          4         15          1      24.53      10.58      33.94       5.91      26.38       5.91      14.67       5.91      11.71       2.77       0.84      33.94       5.91
       -39          4         16          1      34.70      11.92      24.07       2.33      18.38       2.33      37.14       2.33      18.77       2.33       0.80      24.08       2.33
       -39          4         17          1      23.20       9.93      26.60       3.89      20.09       3.89      16.17       3.89       3.92       0.75       0.78      26.60       3.89
       -39          4         18          0      29.66      12.61      27.81       5.21      20.80       5.21      20.80       5.21       0.00       0.00       0.00      27.80       5.21
       -39          5          1          1      30.71      12.54      16.68       4.48      13.18       4.48      26.28       4.48      13.10       4.48       0.64      16.68       4.48
       -39          5          2          1      29.49       9.72      15.52       2.93      12.28       2.93      29.17       2.93      16.88       2.93       0.70      15.52       2.93
