      104m     137l     169l  1a28  1a2a    19hc  105m    153l    154l    157d     176l    180l     1a3a     1a01  1a02  1a0o  1a2a  1a2j    135l
111    1.0   129.71   286.96   0.0   1.0   30.49   1.0   85.32   58.43   69.81   163.03   55.78    65.97    55.67   1.0   1.0   1.0   1.0   27.52
112    1.0    34.96   277.72   1.0   1.0   38.01   1.0   74.79   37.27   34.94   111.94   56.98    12.06   161.07   1.0   1.0   1.0   1.0   24.72
113    1.0    62.99   192.93   1.0   0.0  121.67   1.0  109.14   76.83   37.10    75.51   21.24   132.39    55.37   1.0   1.0   0.0   1.0   37.29
114    1.0    50.03   502.90   1.0   1.0  162.45   1.0   30.66   48.54    5.60   109.67   27.71    17.28    60.79   1.0   1.0   1.0   1.0   72.44
115    1.0    77.11   662.80   1.0   1.0   73.63   1.0   66.15   44.87   19.77   108.63   32.90    12.81   134.24   1.0   1.0   1.0   1.0   27.30
116    1.0    93.19   586.23   1.0   1.0  133.50   1.0  194.04    7.99   16.73   132.02   31.15   113.85    49.62   0.0   1.0   1.0   1.0   25.36
117    1.0    64.17   458.76   1.0   1.0   63.61   0.0   75.02   63.87    9.11    92.73   20.83    91.46   107.65   0.0   1.0   1.0   1.0   40.16
118    0.0    58.18   183.53   1.0   1.0   97.49   1.0   84.48   85.85   19.26    99.77   25.26    50.79    63.34   1.0   1.0   1.0   0.0   36.06
119    1.0    72.78   297.11   1.0   1.0   46.16   1.0   88.52   66.59   28.67   109.68   18.10   110.64    48.20   1.0   1.0   1.0   1.0   27.76
120    1.0    84.85   267.85   1.0   1.0  134.16   1.0   46.07   68.61   12.30    51.71    8.01    79.75    48.56   0.0   1.0   1.0   1.0   48.71
121    1.0    77.94   277.32   1.0   1.0  144.84   1.0   84.83   48.24   15.81   129.56   52.96    26.45    86.79   1.0   1.0   1.0   1.0   27.08
122    1.0    71.02   489.02   1.0   1.0   31.48   1.0   82.66   73.06   57.86   112.52   21.12    71.56    63.48   1.0   1.0   1.0   1.0   34.34
123    1.0    59.06   294.34   1.0   1.0   45.75   0.0   75.78   49.55   13.44   137.76   29.59   162.98   133.76   0.0   0.0   1.0   1.0   23.79
124    1.0    94.24   451.38   1.0   1.0   44.42   1.0   60.51   51.38   15.10   139.75   25.80    31.26   138.52   1.0   1.0   1.0   1.0   33.06
125    1.0    71.22   348.78   1.0   1.0   41.19   1.0   62.78   46.04    9.53   172.50   37.38   159.62   100.78   1.0   1.0   1.0   1.0   26.31
126    0.0   126.70   586.44   1.0   1.0  158.98   1.0   62.52   63.82   29.93    90.87   20.96    95.08    38.33   1.0   1.0   1.0   1.0   33.19
127    1.0    69.92   286.34   1.0   1.0   39.97   1.0   46.91   70.02   16.72    59.47   43.73    82.42    81.13   0.0   1.0   1.0   1.0   80.90
128    1.0    79.99   786.57   1.0   1.0   88.49   1.0   34.92   69.44   17.76    90.83   19.74    61.69    69.17   1.0   1.0   1.0   1.0   30.88
129    1.0    48.04   250.08   1.0   1.0   55.93   1.0   43.76   29.94   19.90   117.36   38.03    53.20    21.32   1.0   1.0   1.0   1.0   29.48
130    1.0    63.11   448.33   1.0   1.0  116.01   1.0   44.40   75.08   17.14   149.26   35.96    22.81    61.89   1.0   1.0   1.0   1.0   29.98
131    1.0    99.25   331.13   1.0   1.0   74.36   1.0   43.90   31.04   14.41    30.37   16.89   183.02    66.03   1.0   1.0   1.0   1.0   24.08
132    1.0    53.09   593.89   1.0   0.0   71.53   1.0   53.83   51.48   73.40   160.07   47.87    89.30    50.80   1.0   1.0   0.0   1.0   28.32
133    1.0    96.24   386.09   1.0   1.0   91.18   1.0   65.02   16.63   33.80   100.96   18.63    78.08    42.68   1.0   1.0   1.0   1.0   38.20
134    0.0    44.15   153.15   0.0   1.0   87.41   1.0   34.92   36.46   18.67    86.65   35.21    52.37    28.42   1.0   1.0   1.0   1.0   21.86
135    1.0    85.34   405.03   1.0   0.0   54.61   1.0   37.86   45.90   26.64   130.44   27.43   104.22    66.52   1.0   1.0   0.0   1.0   30.28
136    1.0    87.40   410.54   1.0   1.0   18.39   1.0   38.92   99.23   26.94    92.83   22.05    75.82    39.78   1.0   1.0   1.0   1.0   46.53
137    1.0    78.96   268.85   1.0   1.0   39.66   1.0   89.88   68.93   37.31    46.29   24.75   188.02    95.17   1.0   1.0   1.0   1.0   40.60
138    1.0    85.06   310.25   1.0   1.0  178.63   1.0   41.36   74.22   14.80    77.66   24.09    74.58    38.82   1.0   1.0   1.0   1.0   54.47
139    1.0    69.12   552.83   1.0   1.0  232.11   1.0   61.03   58.46   25.00   121.49    8.78    89.86    48.43   1.0   1.0   1.0   1.0   28.23
140    1.0    79.21   537.35   0.0   1.0   60.32   1.0    6.71   35.16   32.52    72.21   17.45    33.91   143.08   1.0   1.0   1.0   1.0   49.42
141    1.0    58.21   573.51   0.0   1.0   91.21   1.0   52.63   55.88   50.10   116.23   38.25   134.62    32.95   1.0   1.0   1.0   1.0   69.16
142    1.0    78.34   981.78   1.0   1.0  211.01   1.0   48.91   32.79   41.38    61.37   26.54    98.80    59.64   1.0   1.0   1.0   1.0   55.11
143    1.0    46.23   296.44   1.0   1.0  219.07   1.0   58.40   17.41   37.64    86.17   35.74   182.71    57.55   1.0   1.0   1.0   1.0   34.16
144    1.0    72.40   143.86   0.0   1.0   81.73   1.0   62.77   57.68   61.76    71.92   25.56    88.82    96.37   1.0   1.0   1.0   1.0   27.55
145    1.0    41.03   396.47   1.0   1.0   50.23   1.0   29.45   48.58   58.47    41.78   23.39    87.59   160.85   1.0   1.0   1.0   1.0   31.55
146    1.0    69.13   365.33   1.0   0.0   23.53   1.0   26.88   79.76   31.83   103.60   18.95    59.57   173.43   1.0   1.0   0.0   1.0   20.35
147    1.0    83.24   474.91   1.0   1.0   96.21   1.0   37.59   67.72   12.21    39.95   17.44   130.61   170.89   1.0   1.0   1.0   1.0   22.71
148    1.0    47.18   129.47   1.0   1.0  199.03   0.0   36.14   33.32    8.46    93.45   34.13    49.06    28.55   1.0   1.0   1.0   1.0   26.67
149    1.0    58.28   319.90   1.0   1.0   57.53   1.0   98.45   15.90   73.42    69.67    7.59   136.54    65.90   1.0   1.0   1.0   1.0   26.57
150    1.0    46.25   196.55   1.0   1.0  168.79   1.0   43.92   63.82   60.25    87.41   14.96    80.21   186.96   1.0   1.0   1.0   0.0   54.36
151    1.0    27.17   586.60   1.0   1.0  232.98   1.0   28.61   42.73   35.01    87.10   13.54    41.46    42.00   1.0   1.0   1.0   1.0   57.44
152    1.0    49.33   431.36   1.0   1.0  119.96   0.0   48.75   42.39   19.18    93.03   27.73    34.45    18.45   1.0   1.0   1.0   1.0   23.67
153    1.0    86.28   405.64   0.0   1.0  122.48   1.0   25.16   37.33   16.15   127.30   29.56    90.99   148.60   1.0   1.0   1.0   0.0   24.43
154    1.0    69.29   374.57   1.0   1.0  127.47   1.0   91.50   27.48   77.09    17.27   20.25    20.89    46.00   1.0   1.0   1.0   1.0   28.19
155    1.0    66.35   411.37   1.0   1.0   81.03   1.0   89.15   64.91   30.31   119.47   34.75   135.44    42.94   1.0   1.0   1.0   1.0   25.75
156    1.0    64.39   241.09   1.0   0.0   92.59   1.0   56.83   56.88   37.99    71.28   14.83    83.37    56.39   1.0   1.0   0.0   1.0   40.07
157    1.0    59.41   295.85   1.0   1.0   82.46   1.0   56.00   16.38   56.07    63.06   15.27    78.90    55.06   1.0   1.0   1.0   1.0   31.48
158    1.0    72.54   281.34   1.0   0.0   32.86   1.0   96.32   32.79   28.76   113.17   18.95   112.76    83.33   1.0   1.0   0.0   0.0   30.84
159    1.0    83.39   557.85   1.0   1.0   73.53   1.0   36.99   54.01   19.55    58.45    3.14    11.87    41.60   1.0   1.0   1.0   0.0   23.39
160    1.0    66.38   554.79   1.0   1.0  132.38   1.0   58.27   37.74   16.89    69.91   11.48    90.80    64.97   1.0   1.0   1.0   1.0   40.45
161    1.0    54.37   386.33   1.0   1.0  163.15   1.0   31.54   20.64   16.50    88.00   12.02    52.37    44.69   1.0   1.0   1.0   1.0   71.70
162    1.0    48.37   359.99   1.0   1.0  145.94   1.0   16.55   44.57   10.75   185.74    8.77   157.32    95.46   1.0   1.0   1.0   1.0   65.64
163    1.0    58.49   280.57   1.0   0.0   97.76   1.0   69.39   32.29   16.02    68.49   30.85    52.01    36.91   1.0   1.0   0.0   1.0   81.30
164    1.0    80.73   270.75   1.0   1.0   79.93   1.0   35.68   63.89   19.04   179.46   47.48    44.64    84.45   1.0   1.0   1.0   1.0   23.05
165    1.0   198.43   241.01   1.0   1.0  202.09   1.0   52.25   67.77   27.41   113.46   31.35    46.56    60.84   1.0   0.0   1.0   1.0   27.31
166    0.0    71.46   485.57   1.0   0.0   47.52   1.0   89.46   51.60   28.33   243.84   50.16    79.02    51.36   1.0   1.0   0.0   1.0   30.41
