    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
149 -7 19 19 108.06 269.59 220.10 2.19 168.64 2.32     143.48 5.46 312.11 5.46    0.12 205.64    2.22        
150 -7 20 10 267.00 102.48 264.71 4.91 262.87 4.88     209.86 4.88 53.01  1.73    0.89 260.48    4.82        
151 -7 20 11 164.04 164.04 199.34 0.11 197.77 0.14     47.29  3.28 245.06 3.28    0.46 190.58    0.20        
152 -7 20 12 489.60 58.77  415.19 5.73 414.68 5.71     544.59 5.71 129.91 5.71    0.98 410.15    5.71        
153 -7 20 13 360.03 75.44  340.72 1.07 344.99 1.04     343.29 1.04 1.69   4.18    0.96 340.21    1.05        
154 -7 20 14 338.56 117.66 180.30 4.63 168.54 4.64     380.66 4.64 212.11 4.64    0.81 174.64    4.64        
155 -7 20 15 312.63 108.28 249.91 1.88 224.61 1.88     319.05 1.88 94.45  1.88    0.87 236.99    1.88        
156 -7 20 16 343.34 118.89 273.19 0.44 258.61 0.33     347.96 0.33 89.35  0.33    0.88 275.10    0.41        
157 -7 20 17 201.22 151.19 159.42 1.05 165.62 1.18     39.72  1.18 125.90 4.32    0.51 162.50    1.08        
158 -7 20 18 246.92 123.46 147.79 1.13 151.70 1.10     180.13 1.10 28.42  1.10    0.67 149.65    1.08        
159 -7 20 19 234.81 146.90 242.00 1.12 237.38 1.12     98.85  1.12 138.52 4.26    0.72 245.21    1.10        
160 -7 21 6  465.60 71.25  459.38 4.84 459.03 4.83     451.08 4.83 7.95   1.68    0.98 458.08    4.80        
161 -7 21 7  463.05 70.73  528.50 6.05 532.85 6.06     375.54 6.06 157.32 2.91    0.98 545.50    6.11        
162 -7 21 9  322.44 111.72 323.52 1.31 331.61 1.34     258.81 1.34 72.80  4.48    0.92 326.43    1.33        
163 -7 21 10 300.46 104.03 224.07 1.77 240.21 1.80     290.06 1.80 49.86  1.80    0.88 230.25    1.78        
164 -7 21 11 234.17 116.81 245.02 3.54 257.51 3.54     129.04 3.54 128.48 0.40    0.83 255.67    3.54        
165 -7 21 12 225.98 141.24 139.28 5.40 131.67 5.39     98.34  5.39 33.33  2.25    0.51 139.08    5.39        
166 -7 21 13 201.15 140.75 164.42 2.50 133.22 2.43     56.64  2.43 76.58  5.57    0.47 148.62    2.45        
167 -7 21 14 405.28 85.38  404.32 3.34 386.11 3.35     391.53 3.35 5.42   3.35    0.96 408.23    3.34        
168 -7 21 15 330.04 114.27 196.45 4.71 169.09 5.09     368.98 5.09 199.89 5.09    0.82 191.31    4.77        
169 -7 21 16 107.11 280.81 69.45  3.52 64.99  3.61     56.11  0.47 121.09 0.47    0.04 65.93     3.58        
170 -7 21 17 200.45 150.47 146.83 4.11 146.46 4.11     42.05  4.11 104.41 0.97    0.47 154.63    4.14        
