                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       389        -16         12          1          1      62.77      18.11      53.61      -0.52
       390        -16         12          2          1      65.10      18.24      49.30       2.29
       391        -16         12          3          1      60.06      17.76      28.14       0.39
       392        -16         12          4          0      82.07      22.77      82.88      -0.02
       393        -16         12          5          1      50.04      19.69      15.65      -2.38
       394        -16         12          6          1      38.93      17.62      34.12       2.98
       395        -16         12          7          1      40.74      16.37      43.42      -0.57
       396        -16         12          8          1      55.01      17.33      56.53       2.47
       397        -16         12          9          0      69.16      18.96      70.13       1.31
       398        -16         12         10          1      73.03      20.91      82.79       1.07
       399        -16         13          1          1      34.13      16.75      59.40      -1.51
       400        -16         13          2          1      42.79      16.41      91.93       0.54
       401        -16         13          3          1      42.30      16.16      40.73      -2.52
       402        -16         13          4          1      62.06      18.07      76.12       1.65
       403        -16         13          5          1      24.40      15.05      24.99       1.53
       404        -16         13          6          1      48.77      16.48      58.58      -2.73
       405        -16         13          7          1      50.20      18.01      55.44      -0.80
       406        -16         13          8          1      20.86      17.37       7.04      -1.66
       407        -16         14          2          1      65.96      19.06      83.06       0.78
       408        -16         14          3          1      46.34      17.03      60.91       1.20
       409        -16         14          4          1      76.92      21.28      70.98      -1.43
       410        -16         14          5          0      57.79      17.79      46.84       2.47
       411        -16         14          6          1       6.46      16.01      11.30       0.71
       412        -15          0          1          1     121.23      29.36     116.06       0.00
       413        -15          0          2          1      23.20      14.22      25.22       0.00
       414        -15          0          3          1      54.04      18.67      57.96       3.14
       415        -15          0          4          1      10.08      17.91       0.89       0.00
       416        -15          0          5          1      19.78      20.41       3.19       3.14
       417        -15          0          6          1      62.80      23.38      73.83       3.14
       418        -15          0          7          1     131.19      31.61     133.21       3.14
       419        -15          0          8          1      22.14      20.16      89.01       3.14
       420        -15          0          9          0     114.00      32.30      82.21       0.00
       421        -15          0         10          1      98.24      25.82      70.15       3.14
       422        -15          0         11          1     119.38      33.94      94.01       3.14
       423        -15          0         12          1      26.80      20.54      27.65       0.00
       424        -15          0         13          1      22.89      21.55      28.61       3.14
       425        -15          0         15          1      58.22      25.18      46.84       0.00
       426        -15          0         16          1      56.90      26.22      85.63       0.00
       427        -15          1          1          1     131.50      26.39      82.08       0.53
       428        -15          1          2          1      88.11      18.68      99.27       1.96
       429        -15          1          3          1      41.93      14.30      49.67       0.99
       430        -15          1          5          1      87.67      20.13      88.52       1.03
       431        -15          1          6          0      74.84      20.11      31.51       1.03
       432        -15          1          7          1      50.78      20.83      50.82      -1.92
       433        -15          1          8          1      41.65      18.88      35.36      -1.61
       434        -15          1          9          1      79.51      19.50      43.32       1.02
       435        -15          1         10          1     164.63      29.88     141.80       2.98
       436        -15          1         11          1      93.63      23.52      75.30      -0.31
       437        -15          1         12          1     171.04      39.22     122.01      -2.64
       438        -15          1         13          1      61.46      19.56      86.69       2.78
       439        -15          1         14          1      24.50      20.86      29.77      -0.10
       440        -15          1         15          1     110.58      27.95     105.87      -1.45
       441        -15          1         16          1      74.22      23.02      75.40       0.99
       442        -15          2          1          1      97.56      24.98     101.72      -0.89
       443        -15          2          2          1      24.92      11.88      44.13      -1.22
       444        -15          2          3          1      63.62      16.10      50.98      -0.51
       445        -15          2          4          1     167.95      27.98     164.19      -0.23
       446        -15          2          5          1     112.78      21.08      95.38       1.07
       447        -15          2          6          1      70.18      18.04      90.68       0.62
       448        -15          2          7          0      96.26      23.71      78.89       0.93
       449        -15          2          8          1      40.24      18.29      52.45      -2.21
       450        -15          2          9          1      74.87      20.66      97.56       0.82
       451        -15          2         10          1      32.16      18.77      42.31      -3.04
       452        -15          2         11          1     151.03      34.92     148.90       0.32
       453        -15          2         12          1      61.99      19.79      65.75       1.69
       454        -15          2         13          1      65.75      20.52      78.29      -0.20
