                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       416        -21          3         16          1      77.46       6.40      81.08       0.08
       417        -21          3         17          1      44.01      10.65      43.17      -0.19
       418        -21          3         18          1     143.20       4.50     238.35       0.49
       419        -21          3         19          1     162.34       4.25     242.30      -2.02
       420        -21          3         20          1     130.56       4.38     172.05       1.69
       421        -21          3         21          1     108.87       5.80     121.36       2.85
       422        -21          3         22          1     125.44       4.77      47.54      -1.33
       423        -21          3         23          1      26.84      17.04      93.54       1.68
       424        -21          4          1          1     179.90       3.58     197.42      -2.66
       425        -21          4          2          1     124.92       3.60     156.67       1.18
       426        -21          4          3          0      13.43      15.36     109.66      -2.31
       427        -21          4          4          1     133.12       3.41     120.24       0.78
       428        -21          4          5          1      49.15       6.86      37.91      -0.30
       429        -21          4          6          1     125.04       3.70      84.07      -0.90
       430        -21          4          7          1     162.84       3.72     173.38       1.01
       431        -21          4          8          1     170.82       3.49     209.41      -2.53
       432        -21          4          9          1     260.78       4.76     183.62       0.19
       433        -21          4         10          1     135.72       3.53     147.91       2.92
       434        -21          4         11          1     167.28       3.67     205.58      -1.16
       435        -21          4         12          1     204.38       4.19     212.10       2.42
       436        -21          4         13          1     119.75       4.20     116.41      -0.69
       437        -21          4         14          1      61.61       7.54     101.94       1.69
       438        -21          4         15          1     121.01       4.74     136.93      -0.85
       439        -21          4         16          1     105.25       5.01      77.83      -2.86
       440        -21          4         17          1      24.47      15.71      80.33      -0.93
       441        -21          4         18          1     110.71       4.65     111.31       1.81
       442        -21          4         19          1     125.48       4.78     117.39       1.14
       443        -21          4         20          1     148.39       4.66     191.31      -0.74
       444        -21          4         21          1     234.48       4.66     262.67       2.65
       445        -21          4         22          1     132.77       5.05      82.78      -2.45
       446        -21          4         23          0      41.20      12.83      52.38       2.56
       447        -21          5          1          1      44.45       7.07      45.65       1.35
       448        -21          5          2          0      70.73       4.47      69.31       0.26
       449        -21          5          3          1      54.94       5.83      33.34       2.72
       450        -21          5          4          1     195.20       4.16     232.54      -1.66
       451        -21          5          5          1     166.77       4.93     190.59       1.60
       452        -21          5          6          1     172.24       3.47     186.76      -1.92
       453        -21          5          7          1     144.81       3.49     216.99       1.33
       454        -21          5          8          1     172.15       3.63     147.64      -2.00
