                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       409        -34          5          3          1     189.11     256.48     106.42       1.46
       410        -34          5          7          0     209.79     189.40     180.58      -1.52
       411        -34          5          9          1      72.32     241.07     418.24       1.28
       412        -34          5         10          1     232.88     112.07     313.63      -1.49
       413        -34          5         12          1      35.59     380.62     160.91       1.37
       414        -34          5         13          1     262.02     160.10     222.89      -0.21
       415        -34          5         16          1      92.97     188.36      69.64      -0.71
       416        -34          5         17          1     176.15      59.80     238.65       1.94
       417        -34          6          1          1     333.76     111.25     449.12       1.44
       418        -34          6          2          1     549.99      52.57     580.14       1.14
       419        -34          6          3          0     686.65      69.10     326.92       0.59
       420        -34          6          4          1     461.92      82.60     562.59      -3.04
       421        -34          6          5          1     365.56      58.74     344.34       0.48
       422        -34          6          6          1     511.92      68.35     451.28       1.02
       423        -34          6          8          1     507.98      97.42     508.58      -2.97
       424        -34          6          9          1     497.88      43.65     459.14      -0.95
       425        -34          6         10          1     272.90     141.19     468.76      -2.78
       426        -34          6         11          1     312.08      57.44     381.17       0.31
       427        -34          6         12          1     534.45      31.30     545.95       0.16
       428        -34          6         13          1     300.78      67.10     384.55      -3.05
       429        -34          6         14          1     104.40     139.07     419.48       2.61
       430        -34          6         15          1     215.29     141.27     347.83       2.69
       431        -34          6         16          1     254.53      76.80     277.04       1.49
       432        -34          6         17          1     345.07     136.16     315.80      -0.11
       433        -34          6         18          1     353.82     115.48     323.55      -1.90
       434        -34          7          3          0     505.79      75.85     158.35       1.29
       435        -34          7          4          1     110.01     315.20     165.51      -1.52
       436        -34          7          6          1     254.03     291.10     213.25      -2.77
       437        -34          7          7          1     208.62      85.81     255.10       1.02
       438        -34          7         10          1     326.43      64.07     193.65      -1.88
       439        -34          7         11          1     258.95     191.63     340.55      -2.49
       440        -34          7         12          1     276.00     130.47     305.99       2.04
       441        -34          7         15          1     173.31      84.27     265.29       0.37
       442        -34          7         16          1     162.67     279.16      45.62       2.79
