                    h          k          l         FP      SIGFP      FCalc    PHICalc          
       481         -6         16          5     517.74      37.79     627.96      -1.08
       482         -6         16          6     366.07      63.00     342.58      -2.28
       483         -6         16          7    1506.67      40.47    1583.38      -2.82
       484         -6         16          8     469.24      71.68     635.09      -1.31
       485         -6         16          9     525.87      41.17     639.35      -2.19
       486         -6         16         10     838.28      27.90     869.98      -1.73
       487         -6         16         11     426.63      49.18     387.11      -0.07
       488         -6         16         12     496.61      43.88     382.58       1.62
       489         -6         16         13     250.07      86.46     216.24       2.70
       490         -6         16         14     627.45      38.59     425.05       0.26
       491         -6         16         15     386.75      62.57     326.38       1.56
       492         -6         16         16     743.88      54.61     714.87       0.01
       493         -6         16         17     805.51      53.30     843.27      -1.42
       494         -6         17          1     353.82      58.20     415.84       1.88
       495         -6         17          2     488.91      42.34     523.57       1.74
       496         -6         17          3     822.00      54.27     869.73       0.79
       497         -6         17          4     527.02      38.40     675.63      -0.72
       498         -6         17          5     702.08      36.43     731.25      -0.74
       499         -6         17          6     420.09      49.70     253.93       0.24
       500         -6         17          7     830.57      28.50     684.69      -1.55
       501         -6         17          8     620.69      37.80     679.28       0.77
       502         -6         17          9    1166.92      24.55    1093.44       2.20
       503         -6         17         10     271.44      79.64     346.24      -0.98
       504         -6         17         11     324.67      66.39     384.18      -2.79
       505         -6         17         12     414.48      83.69     454.05      -0.52
       506         -6         17         13     577.46      41.86     600.59      -1.77
       507         -6         17         14     475.33      77.78     506.75      -0.63
       508         -6         17         15     581.29      69.83     449.90      -0.40
       509         -6         17         16     499.04      76.52     526.47      -1.10
       510         -6         17         17     182.40     205.03     293.09      -0.06
       511         -6         17         18     478.18     100.56     500.17      -2.02
