         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL        PHIC_ALL        FWT          PHWT       DELFWT      PHDELWT         FOM     FC_ALL_LS   PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS         h          k          l       FREE         FP      SIGFP         FC       PHIC         h          k          l       FREE         FP      SIGFP         FC       PHIC     FC_ALL   PHIC_ALL        FWT       PHWT     DELFWT    PHDELWT        FOM  FC_ALL_LS PHIC_ALL_LS 	h 	k 	l 	FREE 	FP 	SIGFP 	FC 	PHIC 	FC_ALL 	PHIC_ALL 	FWT 	PHWT 	DELFWT 	PHDELWT 	FOM 	FC_ALL_LS 	PHIC_ALL_LS 	
140	-30  	2  	8  	1  	55.02 	5.80 	21.36 	2.67 	20.54 	2.67 	76.05 	2.67 	55.50 	2.67 	0.88 	21.34 	2.67
141	-30  	2  	9  	0  	50.11 	7.32 	35.71 	5.37 	34.05 	5.37 	34.05 	5.37 	0.00 	0.00 	0.00 	35.40 	5.36
142	-30  	2  	10  	0  	54.39 	4.59 	47.21 	5.29 	44.51 	5.29 	44.51 	5.29 	0.00 	0.00 	0.00 	46.98 	5.29
143	-30  	2  	11  	1  	38.71 	7.37 	36.47 	6.10 	33.93 	6.10 	35.45 	6.10 	1.53 	6.10 	0.90 	36.21 	6.08
144	-30  	2  	12  	1  	48.34 	5.74 	42.66 	2.80 	39.09 	2.80 	51.60 	2.80 	12.51 	2.80 	0.94 	43.10 	2.80
145	-30  	2  	13  	0  	26.39 	10.29 	43.07 	4.87 	39.47 	4.87 	39.47 	4.87 	0.00 	0.00 	0.00 	43.95 	4.87
146	-30  	2  	14  	1  	25.04 	8.67 	5.82 	6.06 	5.34 	6.06 	8.00 	6.06 	2.66 	6.06 	0.27 	5.73 	6.09
147	-30  	2  	15  	1  	32.56 	7.52 	29.24 	5.22 	26.75 	5.22 	29.68 	5.22 	2.93 	5.22 	0.87 	28.94 	5.21
148	-30  	2  	17  	1  	18.15 	6.48 	20.82 	2.60 	18.62 	2.60 	4.23 	2.60 	14.39 	5.74 	0.63 	20.71 	2.60
149	-30  	3  	2  	1  	12.67 	26.43 	27.20 	5.56 	26.13 	5.56 	21.70 	2.42 	47.83 	2.42 	0.18 	26.76 	5.52
150	-30  	3  	4  	1  	53.13 	5.34 	59.33 	4.79 	57.00 	4.79 	44.55 	4.79 	12.45 	1.65 	0.96 	58.98 	4.78
151	-30  	3  	6  	1  	81.59 	4.35 	114.23 	3.48 	109.79 	3.48 	51.11 	3.48 	58.68 	0.34 	0.99 	114.78 	3.47
152	-30  	3  	7  	1  	75.01 	4.48 	69.67 	2.24 	67.00 	2.24 	79.32 	2.24 	12.32 	2.24 	0.98 	69.34 	2.24
153	-30  	3  	8  	1  	27.82 	11.15 	35.06 	4.51 	33.55 	4.51 	10.24 	4.51 	23.31 	1.36 	0.79 	34.85 	4.51
154	-30  	3  	9  	0  	25.48 	11.91 	25.58 	1.88 	24.26 	1.88 	24.26 	1.88 	0.00 	0.00 	0.00 	25.61 	1.90
155	-30  	3  	12  	1  	30.26 	12.44 	29.11 	6.28 	26.66 	6.28 	18.56 	6.28 	8.10 	3.14 	0.75 	29.19 	6.28
156	-30  	3  	13  	1  	67.40 	3.58 	64.37 	1.39 	59.00 	1.39 	72.55 	1.39 	13.55 	1.39 	0.98 	64.61 	1.39
157	-30  	3  	14  	1  	22.90 	11.55 	35.16 	0.09 	32.26 	0.09 	2.77 	0.09 	29.49 	3.23 	0.76 	35.52 	0.09
158	-30  	3  	15  	1  	27.38 	5.01 	31.83 	1.55 	29.05 	1.55 	18.90 	1.55 	10.14 	4.69 	0.88 	32.39 	1.55
159	-30  	3  	16  	1  	40.22 	3.19 	37.25 	5.30 	33.62 	5.30 	41.53 	5.30 	7.91 	5.30 	0.93 	37.19 	5.30
160	-30  	3  	17  	1  	21.23 	4.17 	21.38 	5.53 	19.07 	5.53 	11.99 	5.53 	7.08 	2.39 	0.73 	21.74 	5.52
161	-30  	4  	1  	1  	58.51 	6.11 	75.64 	0.84 	72.69 	0.84 	40.71 	0.84 	31.98 	3.98 	0.97 	75.90 	0.85
162	-30  	4  	5  	1  	19.22 	14.15 	44.93 	4.57 	43.21 	4.57 	16.70 	1.43 	59.91 	1.43 	0.69 	45.13 	4.56
163	-30  	4  	6  	1  	39.61 	6.26 	28.44 	6.11 	27.36 	6.11 	41.49 	6.11 	14.13 	6.11 	0.87 	28.46 	6.07
164	-30  	4  	8  	1  	36.46 	8.28 	48.01 	4.67 	45.60 	4.67 	20.79 	4.67 	24.81 	1.53 	0.91 	48.13 	4.69
165	-30  	4  	9  	1  	73.52 	4.26 	61.97 	0.38 	58.30 	0.38 	84.79 	0.38 	26.49 	0.38 	0.97 	61.29 	0.37
166	-30  	4  	11  	1  	34.95 	6.90 	39.07 	4.77 	35.86 	4.77 	26.86 	4.77 	8.99 	1.63 	0.90 	38.60 	4.76
167	-30  	4  	12  	1  	28.60 	7.09 	26.36 	3.29 	24.15 	3.29 	22.01 	3.29 	2.15 	0.15 	0.81 	26.30 	3.29
168	-30  	4  	13  	1  	23.96 	6.31 	22.62 	4.25 	20.74 	4.25 	15.15 	4.25 	5.60 	1.11 	0.75 	22.79 	4.24
169	-30  	4  	14  	1  	13.15 	11.06 	27.15 	0.98 	24.91 	0.98 	11.64 	4.12 	36.56 	4.12 	0.50 	26.73 	1.01
170	-30  	4  	15  	1  	5.23 	26.80 	25.43 	0.51 	23.12 	0.51 	22.40 	3.65 	45.51 	3.65 	0.07 	25.00 	0.52
171	-30  	4  	16  	1  	35.65 	3.69 	50.91 	1.13 	45.78 	1.13 	21.57 	1.13 	24.21 	4.27 	0.94 	51.02 	1.13
172	-30  	4  	17  	1  	46.81 	2.31 	61.68 	6.13 	54.81 	6.13 	35.63 	6.13 	19.18 	2.99 	0.97 	62.03 	6.13
173	-30  	5  	1  	1  	17.16 	15.09 	46.92 	3.61 	44.64 	3.61 	22.41 	0.47 	67.05 	0.47 	0.65 	46.71 	3.62
174	-30  	5  	2  	1  	38.79 	10.24 	42.61 	3.39 	40.70 	3.39 	28.42 	3.39 	12.28 	0.25 	0.89 	42.89 	3.38
175	-30  	5  	4  	1  	34.17 	9.03 	16.91 	3.96 	16.19 	3.96 	29.56 	3.96 	13.37 	3.96 	0.67 	16.21 	3.99
176	-30  	5  	5  	1  	16.37 	16.91 	6.52 	1.62 	6.23 	1.62 	2.94 	4.76 	9.17 	4.76 	0.10 	5.40 	1.68
177	-30  	5  	6  	1  	53.59 	5.03 	52.77 	5.61 	50.26 	5.61 	52.00 	5.61 	1.75 	5.61 	0.95 	52.70 	5.62
178	-30  	5  	8  	1  	10.16 	29.10 	12.26 	4.59 	11.53 	4.59 	10.40 	1.45 	21.93 	1.45 	0.06 	11.87 	4.56
179	-30  	5  	11  	1  	60.26 	2.36 	40.17 	0.76 	36.79 	0.76 	78.37 	0.76 	41.58 	0.76 	0.96 	40.29 	0.76
180	-30  	5  	12  	1  	27.61 	4.74 	27.85 	3.08 	25.53 	3.08 	21.06 	3.08 	4.46 	6.22 	0.84 	28.61 	3.10
181	-30  	5  	13  	1  	15.90 	7.66 	22.42 	3.10 	20.57 	3.10 	1.83 	6.25 	22.39 	6.25 	0.59 	22.76 	3.10
182	-30  	5  	14  	1  	33.51 	4.64 	33.95 	4.40 	31.02 	4.40 	29.92 	4.40 	1.11 	1.26 	0.91 	34.39 	4.41
183	-30  	5  	15  	1  	55.14 	2.89 	59.54 	3.49 	53.86 	3.49 	53.24 	3.49 	0.62 	0.35 	0.97 	59.38 	3.49
184	-30  	5  	16  	1  	34.90 	4.11 	24.72 	4.43 	22.12 	4.43 	38.83 	4.43 	16.71 	4.43 	0.87 	24.77 	4.44
185	-30  	6  	1  	1  	5.27 	61.31 	13.45 	2.65 	12.64 	2.65 	12.56 	5.79 	25.20 	5.79 	0.01 	13.33 	2.63
186	-30  	6  	3  	1  	19.90 	11.16 	19.76 	3.19 	18.69 	3.19 	0.53 	3.19 	18.16 	0.04 	0.48 	19.73 	3.19
187	-30  	6  	4  	1  	59.96 	4.07 	43.76 	0.99 	41.39 	0.99 	72.87 	0.99 	31.48 	0.99 	0.95 	43.86 	1.01
188	-30  	6  	5  	1  	27.70 	8.08 	7.58 	1.14 	7.15 	1.14 	11.54 	1.14 	4.39 	1.14 	0.34 	8.02 	1.11
189	-30  	6  	6  	1  	88.51 	3.45 	69.59 	1.52 	65.47 	1.52 	108.14 	1.52 	42.66 	1.52 	0.98 	69.31 	1.52
190	-30  	6  	7  	1  	30.93 	9.65 	36.67 	5.78 	34.31 	5.78 	17.89 	5.78 	16.42 	2.63 	0.84 	36.64 	5.75
191	-30  	6  	8  	1  	15.23 	34.06 	29.28 	2.25 	27.19 	2.25 	22.61 	5.39 	49.80 	5.39 	0.15 	29.78 	2.24
192	-30  	6  	9  	1  	20.70 	13.19 	34.22 	0.42 	31.48 	0.42 	4.36 	3.56 	35.85 	3.56 	0.65 	34.75 	0.42
193	-30  	6  	10  	1  	47.99 	3.72 	54.28 	3.40 	49.71 	3.40 	42.12 	3.40 	7.59 	0.26 	0.96 	54.58 	3.40
194	-30  	6  	11  	1  	44.80 	4.07 	60.00 	5.38 	54.99 	5.38 	30.99 	5.38 	23.99 	2.24 	0.96 	59.80 	5.37
195	-30  	6  	12  	1  	13.61 	11.11 	39.71 	4.94 	36.42 	4.94 	18.90 	1.80 	55.32 	1.80 	0.64 	39.42 	4.94
196	-30  	6  	13  	1  	32.72 	4.48 	32.18 	3.76 	29.50 	3.76 	29.60 	3.76 	0.10 	3.76 	0.90 	32.28 	3.77
197	-30  	6  	14  	1  	29.85 	4.15 	37.92 	2.58 	34.45 	2.58 	19.86 	2.58 	14.59 	5.72 	0.91 	37.45 	2.59
198	-30  	6  	15  	1  	50.41 	3.25 	59.56 	1.93 	53.57 	1.93 	43.98 	1.93 	9.59 	5.07 	0.97 	59.80 	1.93
199	-30  	6  	16  	1  	17.41 	7.35 	14.90 	1.87 	13.26 	1.87 	2.92 	1.87 	10.33 	5.01 	0.46 	15.06 	1.90
200	-30  	7  	1  	1  	21.82 	10.51 	9.00 	5.88 	8.34 	5.88 	3.96 	5.88 	4.38 	2.74 	0.28 	9.11 	5.91
201	-30  	7  	3  	1  	63.91 	4.65 	52.96 	5.30 	49.36 	5.30 	73.83 	5.30 	24.47 	5.30 	0.96 	53.16 	5.30
202	-30  	7  	5  	1  	30.74 	9.36 	53.47 	4.27 	49.76 	4.27 	5.54 	4.27 	44.21 	1.13 	0.90 	54.01 	4.27
203	-30  	7  	6  	1  	22.87 	11.82 	52.86 	2.51 	49.02 	2.51 	11.04 	5.65 	60.06 	5.65 	0.83 	53.04 	2.52
204	-30  	7  	9  	1  	19.25 	9.33 	46.22 	1.02 	42.34 	1.02 	11.17 	4.16 	53.50 	4.16 	0.81 	46.18 	1.01
205	-30  	7  	10  	1  	54.58 	2.80 	47.52 	3.10 	43.56 	3.10 	61.27 	3.10 	17.72 	3.10 	0.96 	47.93 	3.11
206	-30  	7  	11  	1  	35.51 	3.86 	36.46 	4.08 	33.44 	4.08 	31.87 	4.08 	1.57 	0.94 	0.92 	36.18 	4.08
207	-30  	7  	12  	0  	20.64 	8.16 	8.50 	4.42 	7.80 	4.42 	7.80 	4.42 	0.00 	0.00 	0.00 	8.03 	4.37
208	-30  	7  	13  	1  	26.15 	6.66 	8.60 	6.17 	7.83 	6.17 	15.69 	6.17 	7.86 	6.17 	0.45 	8.36 	6.15
209	-30  	7  	14  	1  	34.81 	4.25 	35.03 	5.08 	31.60 	5.08 	32.05 	5.08 	0.45 	5.08 	0.91 	34.89 	5.08
210	-30  	7  	15  	1  	10.77 	13.23 	1.09 	3.11 	0.98 	3.11 	0.64 	6.25 	1.62 	6.25 	0.02 	1.05 	3.35
211	-30  	8  	2  	1  	26.65 	11.66 	17.28 	4.07 	15.82 	4.07 	12.91 	4.07 	2.91 	0.93 	0.54 	17.74 	4.11
212	-30  	8  	3  	1  	22.73 	8.80 	40.82 	5.83 	37.40 	5.83 	0.12 	2.69 	37.52 	2.69 	0.82 	40.43 	5.85
213	-30  	8  	4  	0  	38.37 	5.48 	33.52 	1.55 	30.72 	1.55 	30.72 	1.55 	0.00 	0.00 	0.00 	33.15 	1.54
214	-30  	8  	5  	1  	19.81 	14.29 	16.44 	3.90 	15.05 	3.90 	1.11 	0.76 	16.16 	0.76 	0.35 	16.93 	3.89
215	-30  	8  	6  	1  	47.48 	5.36 	43.07 	6.08 	39.44 	6.08 	49.81 	6.08 	10.37 	6.08 	0.94 	43.19 	6.09
216	-30  	8  	7  	0  	99.92 	2.38 	84.76 	3.51 	77.64 	3.51 	77.64 	3.51 	0.00 	0.00 	0.00 	84.42 	3.51
217	-30  	8  	8  	1  	54.91 	2.97 	50.37 	5.80 	46.15 	5.80 	59.50 	5.80 	13.35 	5.80 	0.96 	50.14 	5.79
218	-30  	8  	9  	1  	9.33 	19.39 	23.99 	5.91 	21.99 	5.91 	18.56 	2.77 	40.56 	2.77 	0.18 	24.05 	5.91
219	-30  	8  	10  	1  	16.56 	10.34 	44.58 	0.47 	40.89 	0.47 	15.56 	3.62 	56.45 	3.62 	0.76 	44.95 	0.47
220	-30  	8  	12  	1  	34.35 	4.99 	34.31 	6.04 	31.23 	6.04 	31.28 	6.04 	0.05 	6.04 	0.91 	34.28 	6.03
221	-30  	8  	13  	1  	54.88 	3.10 	56.17 	4.01 	50.73 	4.01 	55.62 	4.01 	4.89 	4.01 	0.97 	55.96 	4.00
222	-30  	8  	14  	0  	32.10 	3.93 	37.87 	2.19 	33.89 	2.19 	33.89 	2.19 	0.00 	0.00 	0.00 	38.16 	2.19
223	-30  	8  	15  	1  	9.20 	13.06 	22.25 	4.31 	19.71 	4.31 	14.93 	1.17 	34.64 	1.17 	0.26 	22.42 	4.31
224	-30  	9  	1  	1  	2.66 	81.31 	52.16 	1.44 	47.81 	1.44 	47.76 	4.58 	95.58 	4.58 	0.01 	51.80 	1.42
225	-30  	9  	2  	1  	19.46 	14.91 	19.48 	0.09 	17.85 	0.09 	2.36 	3.23 	20.21 	3.23 	0.40 	19.83 	0.08
226	-30  	9  	3  	1  	22.18 	13.35 	31.10 	2.57 	28.50 	2.57 	0.58 	2.57 	27.92 	5.71 	0.66 	31.73 	2.58
227	-30  	9  	4  	1  	53.45 	4.79 	59.49 	5.45 	54.52 	5.45 	48.60 	5.45 	5.92 	2.31 	0.96 	58.84 	5.45
228	-30  	9  	6  	1  	30.73 	5.02 	33.57 	6.01 	30.77 	6.01 	23.70 	6.01 	7.07 	2.87 	0.89 	33.34 	6.02
229	-30  	9  	7  	1  	34.54 	5.56 	14.73 	1.78 	13.51 	1.78 	37.77 	1.78 	24.27 	1.78 	0.74 	15.32 	1.72
230	-30  	9  	8  	1  	30.75 	5.80 	38.16 	0.33 	35.00 	0.33 	20.46 	0.33 	14.53 	3.48 	0.90 	38.45 	0.35
231	-30  	9  	9  	1  	40.56 	5.79 	35.97 	3.38 	33.01 	3.38 	42.03 	3.38 	9.02 	3.38 	0.93 	36.17 	3.39
232	-30  	9  	10  	1  	16.83 	10.29 	29.90 	0.13 	27.34 	0.13 	5.40 	3.27 	32.74 	3.27 	0.65 	30.07 	0.13
233	-30  	9  	11  	1  	30.78 	5.78 	38.22 	6.13 	34.73 	6.13 	20.97 	6.13 	13.76 	2.99 	0.90 	38.38 	6.13
234	-30  	9  	12  	1  	53.94 	2.83 	54.06 	3.96 	48.77 	3.96 	55.58 	3.96 	6.81 	3.96 	0.97 	53.46 	3.97
235	-30  	9  	13  	1  	71.44 	2.20 	71.33 	1.50 	63.83 	1.50 	76.38 	1.50 	12.55 	1.50 	0.98 	71.80 	1.50
236	-30  	9  	14  	1  	13.38 	10.51 	21.35 	1.64 	18.93 	1.64 	7.80 	4.78 	26.73 	4.78 	0.42 	21.53 	1.67
237	-30  	10  	1  	1  	47.31 	5.86 	41.14 	3.83 	37.75 	3.83 	51.59 	3.83 	13.84 	3.83 	0.94 	41.36 	3.83
238	-30  	10  	2  	1  	33.15 	7.90 	50.87 	3.59 	46.67 	3.59 	14.62 	3.59 	32.05 	0.45 	0.92 	50.81 	3.59
239	-30  	10  	4  	1  	21.08 	9.14 	2.73 	0.19 	2.51 	0.19 	1.98 	0.19 	0.53 	3.33 	0.11 	3.03 	6.28
240	-30  	10  	6  	0  	44.66 	4.18 	27.08 	4.80 	24.85 	4.80 	24.85 	4.80 	0.00 	0.00 	0.00 	27.45 	4.82
241	-30  	10  	7  	1  	51.01 	3.70 	51.72 	0.81 	47.45 	0.81 	50.92 	0.81 	3.47 	0.81 	0.96 	52.10 	0.81
242	-30  	10  	8  	1  	79.32 	2.59 	49.11 	4.17 	44.89 	4.17 	110.06 	4.17 	65.17 	4.17 	0.98 	49.26 	4.17
243	-30  	10  	9  	1  	31.63 	4.77 	15.86 	1.59 	14.44 	1.59 	34.07 	1.59 	19.64 	1.59 	0.77 	16.07 	1.59
244	-30  	10  	10  	1  	48.12 	3.38 	38.98 	2.34 	35.29 	2.34 	55.96 	2.34 	20.67 	2.34 	0.95 	39.20 	2.35
245	-30  	10  	11  	1  	11.90 	10.97 	11.52 	1.86 	10.36 	1.86 	5.29 	5.00 	15.65 	5.00 	0.21 	11.58 	1.85
246	-30  	10  	12  	1  	8.20 	18.72 	43.97 	6.27 	39.27 	6.27 	34.37 	3.13 	73.64 	3.13 	0.30 	43.74 	6.27
247	-30  	11  	1  	0  	42.30 	5.15 	31.01 	3.56 	28.19 	3.56 	28.19 	3.56 	0.00 	0.00 	0.00 	30.66 	3.56
248	-30  	11  	2  	1  	22.18 	10.91 	17.26 	2.49 	15.72 	2.49 	7.79 	2.49 	7.94 	5.63 	0.53 	16.81 	2.52
249	-30  	11  	3  	1  	38.09 	6.98 	50.12 	6.15 	45.70 	6.15 	25.79 	6.15 	19.91 	3.01 	0.94 	49.78 	6.16
250	-30  	11  	4  	1  	18.94 	9.92 	4.46 	1.31 	4.07 	1.31 	1.56 	1.31 	2.51 	4.45 	0.15 	4.93 	1.29
251	-30  	11  	6  	1  	24.91 	7.04 	17.51 	5.71 	15.93 	5.71 	18.02 	5.71 	2.09 	5.71 	0.68 	17.40 	5.69
252	-30  	11  	7  	1  	43.01 	4.15 	24.01 	3.55 	21.78 	3.55 	55.64 	3.55 	33.86 	3.55 	0.90 	23.75 	3.56
253	-30  	11  	8  	1  	11.49 	13.72 	18.22 	0.13 	16.47 	0.13 	10.45 	3.28 	26.92 	3.28 	0.26 	17.51 	0.14
254	-30  	11  	9  	1  	8.90 	16.86 	10.63 	1.62 	9.57 	1.62 	7.88 	4.76 	17.45 	4.76 	0.09 	11.13 	1.60
255	-30  	11  	11  	1  	26.00 	6.25 	40.69 	0.54 	36.19 	0.54 	9.74 	0.54 	26.46 	3.69 	0.88 	40.45 	0.55
256	-30  	12  	2  	1  	10.29 	18.77 	21.78 	4.07 	19.59 	4.07 	15.64 	0.93 	35.23 	0.93 	0.19 	21.35 	4.07
257	-30  	12  	3  	1  	7.77 	24.56 	21.28 	4.50 	19.17 	4.50 	17.67 	1.36 	36.84 	1.36 	0.10 	22.20 	4.48
258	-30  	12  	6  	1  	9.93 	16.41 	19.85 	4.37 	17.84 	4.37 	13.85 	1.23 	31.68 	1.23 	0.20 	20.65 	4.37
259	-30  	12  	7  	1  	48.73 	4.70 	41.30 	0.52 	37.01 	0.52 	55.29 	0.52 	18.28 	0.52 	0.95 	41.45 	0.54
260	-30  	12  	8  	1  	39.04 	4.00 	33.80 	2.44 	30.18 	2.44 	41.64 	2.44 	11.46 	2.44 	0.92 	33.51 	2.45
261	-30  	12  	9  	1  	28.46 	4.85 	27.89 	5.27 	24.79 	5.27 	23.72 	5.27 	1.07 	2.13 	0.85 	27.75 	5.27
262	-30  	13  	1  	1  	30.15 	5.53 	30.84 	5.66 	27.33 	5.66 	25.13 	5.66 	2.20 	2.52 	0.87 	30.59 	5.63
263	-30  	13  	2  	1  	40.76 	4.58 	38.43 	1.18 	34.12 	1.18 	41.71 	1.18 	7.59 	1.18 	0.93 	38.59 	1.18
264	-30  	13  	3  	1  	64.17 	3.42 	49.84 	4.44 	44.29 	4.44 	79.99 	4.44 	35.69 	4.44 	0.97 	49.65 	4.43
265	-30  	13  	4  	1  	39.43 	4.55 	38.05 	0.32 	33.82 	0.32 	39.30 	0.32 	5.49 	0.32 	0.93 	38.06 	0.33
266	-30  	13  	5  	1  	42.11 	4.35 	37.75 	3.70 	33.53 	3.70 	44.98 	3.70 	11.45 	3.70 	0.93 	37.77 	3.71
267	-30  	13  	6  	1  	20.50 	7.43 	11.69 	3.99 	10.36 	3.99 	7.33 	3.99 	3.03 	0.85 	0.43 	11.45 	3.95
268	-29  	0  	3  	1  	23.62 	22.16 	36.74 	0.00 	35.14 	6.28 	6.59 	3.14 	41.74 	3.14 	0.60 	35.54 	6.28
269	-29  	0  	5  	1  	16.55 	29.74 	2.26 	0.00 	2.16 	0.00 	1.41 	3.14 	3.57 	3.14 	0.02 	4.02 	0.00
270	-29  	0  	7  	1  	26.64 	11.90 	11.94 	0.00 	11.42 	0.00 	7.98 	0.00 	3.43 	3.14 	0.36 	12.70 	0.00
271	-29  	0  	10  	1  	97.96 	7.01 	94.35 	3.14 	90.26 	3.14 	105.67 	3.14 	15.41 	3.14 	1.00 	94.37 	3.14
272	-29  	0  	11  	1  	35.20 	11.83 	45.20 	0.00 	43.26 	0.00 	25.58 	0.00 	17.68 	3.14 	0.98 	45.92 	0.00
273	-29  	0  	12  	1  	83.90 	5.58 	83.38 	3.14 	79.91 	3.14 	87.89 	3.14 	7.98 	3.14 	1.00 	82.83 	3.14
274	-29  	0  	13  	1  	20.42 	18.87 	74.35 	3.14 	71.38 	3.14 	32.93 	0.00 	104.31 	0.00 	0.94 	74.42 	3.14
275	-29  	0  	14  	1  	90.75 	4.95 	68.96 	3.14 	66.25 	3.14 	115.25 	3.14 	49.00 	3.14 	1.00 	69.13 	3.14
276	-29  	0  	15  	0  	78.65 	5.94 	61.70 	0.00 	58.04 	6.28 	58.04 	6.28 	0.00 	0.00 	0.00 	60.36 	6.28
277	-29  	0  	16  	1  	63.25 	5.62 	38.96 	3.14 	35.81 	3.14 	90.68 	3.14 	54.87 	3.14 	1.00 	39.92 	3.14
278	-29  	0  	17  	1  	30.47 	10.74 	26.99 	0.00 	24.74 	0.00 	31.49 	0.00 	6.75 	0.00 	0.92 	27.35 	0.00
279	-29  	0  	18  	1  	33.91 	9.30 	11.06 	3.14 	10.15 	3.14 	37.03 	3.14 	26.88 	3.14 	0.70 	10.74 	3.14
280	-29  	0  	19  	1  	20.69 	4.67 	0.94 	3.14 	0.85 	3.14 	1.28 	3.14 	0.43 	3.14 	0.05 	1.01 	3.14
281	-29  	0  	20  	0  	46.74 	3.59 	72.53 	0.00 	64.74 	0.00 	64.74 	0.00 	0.00 	0.00 	0.00 	73.01 	0.00
282	-29  	1  	1  	1  	12.00 	28.91 	38.16 	5.71 	36.47 	5.71 	32.06 	2.56 	68.53 	2.56 	0.18 	38.60 	5.68
283	-29  	1  	4  	1  	42.83 	6.78 	57.98 	0.73 	55.46 	0.73 	22.80 	0.73 	32.66 	3.87 	0.91 	57.90 	0.73
284	-29  	1  	5  	1  	43.47 	6.60 	50.63 	5.46 	48.41 	5.46 	30.13 	5.46 	18.28 	2.31 	0.90 	50.81 	5.45
285	-29  	1  	6  	1  	58.47 	4.92 	67.29 	3.41 	64.30 	3.41 	46.92 	3.41 	17.37 	0.27 	0.95 	66.67 	3.41
286	-29  	1  	7  	1  	50.89 	5.31 	34.46 	5.15 	32.93 	5.15 	57.33 	5.15 	24.40 	5.15 	0.89 	34.46 	5.14
287	-29  	1  	8  	1  	80.53 	3.50 	93.18 	3.40 	89.08 	3.40 	68.26 	3.40 	20.83 	0.25 	0.98 	93.01 	3.40
288	-29  	1  	9  	1  	41.04 	7.76 	46.91 	5.44 	44.86 	5.44 	28.63 	5.44 	16.22 	2.30 	0.90 	46.53 	5.45
289	-29  	1  	10  	0  	98.74 	3.00 	78.86 	3.24 	75.44 	3.24 	75.44 	3.24 	0.00 	0.00 	0.00 	77.83 	3.25
290	-29  	1  	11  	1  	27.56 	10.38 	31.85 	4.84 	30.48 	4.84 	9.95 	4.84 	20.53 	1.70 	0.73 	31.43 	4.84
291	-29  	1  	13  	1  	11.89 	18.85 	19.13 	1.15 	18.37 	1.15 	14.06 	4.29 	32.43 	4.29 	0.18 	19.03 	1.11
292	-29  	1  	15  	1  	12.45 	20.15 	49.85 	0.55 	46.84 	0.55 	36.17 	3.69 	83.01 	3.69 	0.43 	49.34 	0.55
293	-29  	1  	16  	1  	22.55 	10.56 	51.72 	0.50 	47.48 	0.50 	9.56 	3.64 	57.04 	3.64 	0.84 	52.67 	0.50
294	-29  	1  	17  	0  	85.48 	2.44 	91.21 	6.15 	83.60 	6.15 	83.60 	6.15 	0.00 	0.00 	0.00 	91.16 	6.16
295	-29  	1  	18  	1  	49.65 	3.03 	57.01 	0.62 	52.32 	0.62 	43.76 	0.62 	8.56 	3.76 	0.97 	56.77 	0.61
296	-29  	1  	19  	1  	50.85 	2.51 	56.99 	5.50 	51.60 	5.50 	46.82 	5.50 	4.77 	2.36 	0.97 	57.08 	5.49
297	-29  	1  	20  	1  	36.28 	2.82 	31.21 	0.09 	27.85 	0.09 	38.19 	0.09 	10.34 	0.09 	0.91 	30.78 	0.09
298	-29  	2  	1  	1  	65.32 	4.98 	68.51 	3.34 	65.47 	3.34 	59.63 	3.34 	5.84 	0.19 	0.96 	68.20 	3.32
299	-29  	2  	2  	1  	79.08 	3.76 	99.03 	3.11 	94.63 	3.11 	59.79 	3.11 	34.83 	6.25 	0.98 	99.14 	3.11
300	-29  	2  	3  	1  	53.52 	5.89 	85.53 	3.22 	81.75 	3.22 	20.63 	3.22 	61.12 	0.08 	0.96 	85.26 	3.23
301	-29  	2  	4  	1  	10.59 	25.33 	46.97 	3.39 	44.89 	3.39 	39.90 	0.24 	84.79 	0.24 	0.24 	46.02 	3.37
302	-29  	2  	5  	1  	46.90 	5.66 	53.95 	2.18 	51.56 	2.18 	34.80 	2.18 	16.75 	5.33 	0.92 	54.74 	2.16
303	-29  	2  	6  	1  	92.53 	3.38 	82.00 	5.90 	78.37 	5.90 	102.29 	5.90 	23.92 	5.90 	0.98 	81.98 	5.89
304	-29  	2  	7  	1  	108.64 	3.88 	105.40 	2.62 	100.74 	2.62 	113.17 	2.62 	12.43 	2.62 	0.98 	106.71 	2.64
305	-29  	2  	8  	1  	68.35 	4.94 	57.86 	0.44 	55.32 	0.44 	75.18 	0.44 	19.86 	0.44 	0.95 	57.07 	0.45
306	-29  	2  	9  	1  	36.10 	8.91 	20.48 	4.43 	19.59 	4.43 	29.25 	4.43 	9.66 	4.43 	0.68 	21.50 	4.39
307	-29  	2  	10  	1  	70.77 	3.29 	65.41 	2.59 	62.58 	2.59 	74.20 	2.59 	11.62 	2.59 	0.97 	65.38 	2.61
308	-29  	2  	11  	1  	74.44 	4.10 	60.70 	4.78 	58.11 	4.78 	85.84 	4.78 	27.73 	4.78 	0.97 	59.11 	4.77
